N;Name;Symbol;Market Cap;Price;Circulating Supply;Volume (24h);1h;24h;7d
251;Humanscape;HUM;$16 801 135;$0,000455;36 900 481 004 *;$52 627;0,01%;0,93%;3,82%
252;Dentacoin;DCN;$16 566 438;$0,000051;325 187 527 265 *;$28 826;0,32%;3,20%;-17,94%
253;TTC Protocol;TTC;$16 549 345;$0,086100;192 210 890 *;$3 635 245;-0,37%;1,99%;4,10%
254;TokenClub;TCT;$16 538 816;$0,034354;481 425 335 *;$1 531 209;0,32%;2,62%;7,06%
255;BHPCoin;BHP;$16 495 351;$1,53;10 806 569 *;$8 722 594;-0,29%;-0,16%;-0,32%
256;NavCoin;NAV;$16 474 406;$0,252477;65 251 104 *;$1 446 593;-0,13%;4,67%;16,15%
257;Dropil;DROP;$16 346 859;$0,000720;22 716 628 485 *;$865 506;0,44%;-2,94%;-8,42%
258;FLO;FLO;$16 287 305;$0,107731;151 184 381;$51 465;2,36%;5,85%;5,82%
259;Fetch;FET;$16 196 001;$0,198621;81 542 294 *;$38 192 217;0,57%;0,64%;16,15%
260;Genesis Vision;GVT;$16 135 434;$3,64;4 426 883 *;$958 075;-0,24%;1,07%;9,25%
261;PlayChip;PLA;$15 874 992;$0,001133;14 009 105 693 *;$62 808;0,43%;4,77%;1,93%
262;PumaPay;PMA;$15 716 488;$0,000694;22 649 131 265 *;$1 239 241;0,21%;16,79%;20,97%
263;HYCON;HYC;$15 480 691;$0,008256;1 875 012 954;$1 597 899;0,75%;4,16%;-1,11%
264;Smartlands;SLT;$15 380 493;$3,02;5 100 896 *;$6 761;-1,96%;-1,92%;-16,35%
265;Achain;ACT;$15 254 480;$0,017158;889 034 246 *;$1 371 081;0,38%;1,46%;-5,49%
266;OAX;OAX;$15 165 254;$0,224238;67 630 082 *;$973 408;0,78%;3,76%;1,69%
267;Bitcoiin;B2G;$14 914 435;$0,289590;51 501 890;$719 638;0,15%;3,68%;-5,32%
268;THEKEY;TKY;$14 900 636;$0,002945;5 060 038 287 *;$162 232;0,53%;4,01%;29,28%
269;MediShares;MDS;$14 845 947;$0,013905;1 067 640 901 *;$533 855;0,24%;-2,70%;12,61%
270;VITE;VITE;$14 830 254;$0,035722;415 162 655 *;$809 911;0,46%;-1,43%;-5,34%
271;Endor Protocol;EDR;$14 825 115;$0,019568;757 631 284 *;$2 765 690;1,65%;2,97%;-7,59%
272;Moss Coin;MOC;$14 813 355;$0,052507;282 119 632 *;$599 874;-0,09%;1,76%;-2,64%
273;Wagerr;WGR;$14 518 644;$0,079433;182 778 485 *;$188 156;-8,33%;-21,21%;-19,09%
274;Edgeless;EDG;$14 409 990;$0,123113;117 046 967 *;$641 468;1,36%;13,36%;27,90%
275;TokenCard;TKN;$14 307 132;$0,472797;30 260 595 *;$5 886;0,40%;1,87%;5,27%
276;Emercoin;EMC;$14 289 083;$0,325160;43 944 731;$495 291;-0,21%;1,88%;29,38%
277;Spectrecoin;XSPEC;$14 247 280;$0,634751;22 445 451 *;$13 776;-0,06%;-4,71%;6,33%
278;Viacoin;VIA;$14 187 741;$0,613045;23 143 063;$530 505;0,36%;1,29%;-3,72%
279;PressOne;PRS;$14 175 883;$0,049785;284 742 628 *;$215 745;-0,04%;-4,27%;0,10%
280;CWV Chain;CWV;$14 038 086;$0,004107;3 417 751 903 *;$205 988;-0,16%;0,36%;-19,84%
281;SmartMesh;SMT;$14 001 390;$0,009904;1 413 716 694 *;$216 381;0,19%;-6,80%;-5,48%
282;FOAM;FOAM;$13 989 613;$0,049413;283 116 267 *;$31 154;-4,47%;0,95%;8,19%
283;Time New Bank;TNB;$13 899 557;$0,005049;2 752 987 802 *;$372 829;0,18%;0,32%;-2,61%
284;Nucleus Vision;NCASH;$13 830 611;$0,002391;5 783 984 900 *;$425 643;-0,29%;3,41%;10,00%
285;Ruff;RUFF;$13 792 688;$0,014067;980 500 000 *;$294 524;0,49%;1,76%;-9,18%
286;Tierion;TNT;$13 709 329;$0,031995;428 481 269 *;$3 249 464;0,36%;3,56%;3,36%
287;Vitae;VITAE;$13 686 386;$0,852530;16 053 848;$18 381;-4,58%;-5,62%;0,42%
288;SIRIN LABS Token;SRN;$13 613 759;$0,027680;491 820 906 *;$721 265;1,00%;1,34%;-3,92%
289;PLATINCOIN;PLC;$13 562 813;$19,38;700 000 *;$2 036 491;0,01%;2,83%;-12,83%
290;WhiteCoin;XWC;$13 555 583;$0,054183;250 183 629 *;$355 372;0,26%;-5,83%;-18,75%
291;SmartCash;SMART;$13 554 746;$0,009587;1 413 859 298;$161 433;-0,13%;-1,29%;3,27%
292;VIBE;VIBE;$13 498 460;$0,051890;260 136 427 *;$888 739;-1,26%;1,43%;9,93%
293;Crypterium;CRPT;$13 490 389;$0,160655;83 971 026 *;$90 849;3,21%;5,04%;-4,08%
294;Tripio;TRIO;$13 487 178;$0,003773;3 575 070 000 *;$2 874 400;0,54%;2,04%;3,76%
295;IHT Real Esta...;IHT;$13 478 464;$0,019922;676 576 044 *;$866 713;-0,09%;3,78%;-2,29%
296;Pepe Cash;PEPECASH;$13 416 293;$0,019115;701 884 009 *;$122 114;2,73%;5,92%;64,57%
297;Bit-Z Token;BZ;$13 361 677;$0,123115;108 529 996 *;$10 571 580;0,19%;-4,66%;10,12%
298;Bluzelle;BLZ;$13 331 206;$0,064388;207 044 703 *;$733 012;0,81%;3,51%;0,37%
299;Ethos;ETHOS;$13 268 504;$0,135917;97 621 898 *;$580 017;0,13%;2,33%;-4,14%
300;DigitalNote;XDN;$13 236 090;$0,001910;6 928 822 446;$795 155;0,23%;8,83%;20,17%
301;DATA;DTA;$13 153 964;$0,001525;8 624 993 344 *;$2 075 882;3,51%;7,77%;-0,85%
302;Swarm;SWM;$13 037 522;$0,160080;81 443 642 *;$1 637 574;0,11%;-0,17%;38,22%
303;OneRoot Network;RNT;$12 842 461;$0,045208;284 073 817 *;$2 097 711;-0,20%;0,07%;-6,52%
304;Propy;PRO;$12 840 609;$0,225250;57 006 067 *;$1 898 588;-0,40%;4,90%;7,88%
305;EDC Blockchain;EDC;$12 804 716;$0,004795;2 670 646 025;$152 180;-1,56%;-5,88%;-2,13%
306;Cube;AUTO;$12 774 058;$0,001885;6 774 940 000 *;$15 576;0,52%;0,83%;-0,02%
307;APIS;APIS;$12 768 726;$0,002287;5 582 735 485 *;$563 394;0,16%;19,53%;16,61%
308;AdEx;ADX;$12 643 562;$0,172184;73 430 701 *;$664 042;0,24%;0,63%;1,81%
309;Metronome;MET;$12 504 096;$1,36;9 214 196 *;$576 083;0,39%;4,76%;0,67%
310;ZClassic;ZCL;$12 327 506;$1,83;6 720 950;$100 492;-0,24%;0,31%;2,03%
311;BLOCKv;VEE;$12 157 113;$0,005210;2 333 613 594 *;$66 081;0,21%;1,87%;11,68%
312;Insolar;INS;$12 000 528;$0,369247;32 500 000 *;$1 462 380;0,29%;2,35%;6,32%
313;Numeraire;NMR;$11 962 150;$8,87;1 349 328 *;$15 254;0,11%;0,38%;-7,22%
314;district0x;DNT;$11 912 570;$0,019854;600 000 000 *;$1 011 778;1,21%;3,23%;1,74%
315;Ubiq;UBQ;$11 751 269;$0,275792;42 609 099;$37 767;-0,15%;6,08%;2,82%
316;Bezant;BZNT;$11 695 165;$0,019706;593 472 815 *;$366 364;2,19%;2,26%;1,45%
317;Aeron;ARN;$11 685 777;$0,599271;19 500 000 *;$3 372 042;1,11%;3,37%;6,75%
318;Own;CHX;$11 645 898;$0,146651;79 412 586 *;$2 046 326;0,54%;1,85%;10,31%
319;Kcash;KCASH;$11 623 929;$0,026092;445 499 083 *;$6 072 102;0,61%;-0,23%;-11,83%
320;B2BX;B2B;$11 514 164;$0,694057;16 589 646 *;$50 256;-1,33%;-0,84%;11,43%
321;DMarket;DMT;$11 484 068;$0,228693;50 216 064 *;$2 266 110;0,70%;4,21%;1,83%
322;Credits;CS;$11 392 002;$0,070912;160 650 538 *;$2 576 423;0,24%;-23,88%;-6,35%
323;Electra;ECA;$11 285 084;$0,000395;28 545 452 183;$46 312;0,88%;-9,54%;-14,56%
324;Asch;XAS;$11 173 138;$0,119684;93 355 331 *;$3 180 346;0,73%;5,19%;-4,82%
325;SingularDTV;SNGLS;$11 151 552;$0,018586;600 000 000 *;$601 936;0,39%;5,23%;6,26%
326;bitCNY;BITCNY;$11 017 840;$0,142240;77 459 400 *;$217 243 344;-0,08%;0,05%;-1,76%
327;Content Value...;CVNT;$10 944 610;$0,025015;437 514 632 *;$3 114 185;0,17%;-0,40%;5,07%
328;Connect Coin;XCON;$10 805 901;$0,311800;34 656 526 *;$94 479;1,89%;-5,17%;-8,58%
329;SONM;SNM;$10 772 186;$0,029956;359 600 000 *;$391 512;0,71%;7,27%;11,40%
330;Peercoin;PPC;$10 603 084;$0,417506;25 396 228;$195 965;-0,56%;2,59%;-0,35%
331;DxChain Token;DX;$10 504 167;$0,000289;36 325 346 425 *;$335 528;-20,66%;0,80%;-8,75%
332;BOX Token;BOX;$10 490 632;$0,105249;99 674 138 *;$53 797;1,44%;3,56%;1,47%
333;Selfkey;KEY;$10 484 222;$0,003655;2 868 184 470 *;$684 798;0,27%;0,02%;-0,02%
334;AppCoins;APPC;$10 391 318;$0,103857;100 054 312 *;$1 118 839;2,40%;7,20%;5,47%
335;SwftCoin;SWFTC;$10 356 739;$0,002845;3 639 990 384 *;$5 520 818;-1,48%;1,95%;-7,67%
336;DeepBrain Chain;DBC;$10 317 848;$0,003224;3 200 000 000 *;$319 305;-0,21%;0,09%;-6,34%
337;ETHLend;LEND;$10 229 505;$0,009171;1 115 389 877 *;$2 304 041;-2,81%;2,68%;-5,14%
338;Zipper;ZIP;$10 155 748;$0,000627;16 199 999 812 *;$14 620 599;0,32%;-4,37%;4,25%
339;smARTOFGIVING;AOG;$10 153 715;$0,174628;58 144 778 *;$6 108;0,21%;1,15%;3,59%
340;Linda;LINDA;$10 113 394;$0,000781;12 944 250 605;$67 014;8,53%;10,69%;-5,10%
341;BitCapitalVendor;BCV;$10 065 353;$0,012162;827 613 773 *;$128 591;0,08%;6,67%;-5,73%
342;Tokenomy;TEN;$10 027 585;$0,050138;200 000 000 *;$179 632;0,47%;-0,83%;3,56%
343;QLC Chain;QLC;$10 008 249;$0,041701;240 000 000 *;$640 779;0,40%;1,56%;-1,59%
344;BridgeCoin;BCO;$9 942 074;$0,368225;27 000 000 *;$8 389;-0,31%;-6,80%;-19,92%
345;Blue Whale EX...;BWX;$9 914 400;$0,163489;60 642 666 *;$817 090;0,32%;-0,76%;-4,37%
346;ZrCoin;ZRC;$9 874 183;$2,18;4 537 121 *;$47 760;0,13%;1,60%;-2,42%
347;Agrello;DLT;$9 873 588;$0,114837;85 978 873 *;$927 333;-0,29%;0,66%;-4,02%
348;AgaveCoin;AGVC;$9 859 745;$0,025241;390 619 593 *;$45 198;-0,27%;0,90%;8,41%
349;CoinUs;CNUS;$9 809 687;$0,028852;340 000 000 *;$398 184;1,78%;1,51%;-5,00%
350;BitBay;BAY;$9 805 578;$0,009688;1 012 146 906 *;$139 174;0,55%;6,83%;-0,76%
351;ParkinGo;GOT;$9 794 010;$0,755354;12 966 125 *;$146 405;0,40%;-0,44%;-11,78%
352;Viberate;VIB;$9 728 147;$0,051907;187 414 795 *;$1 645 744;0,20%;1,35%;5,61%
353;TaaS;TAAS;$9 697 893;$1,19;8 146 001 *;$793;-7,13%;-8,65%;-9,28%
354;Everus;EVR;$9 606 131;$0,021014;457 120 774 *;$8 154;0,21%;104,80%;-0,94%
355;Opacity;OPQ;$9 581 538;$0,079568;120 419 467 *;$106 402;0,66%;3,76%;-10,30%
356;All Sports;SOC;$9 559 082;$0,006373;1 499 865 882 *;$266 986;0,78%;0,33%;-9,10%
357;Ocean Protocol;OCEAN;$9 480 846;$0,040440;234 442 210 *;$2 372 819;0,46%;0,01%;-4,72%
358;PRIZM;PZM;$9 469 582;$0,180363;52 502 900 *;$32 718;0,92%;1,89%;-13,58%
359;Scry.info;DDD;$9 443 017;$0,021459;440 057 074 *;$736 319;0,49%;-2,94%;-14,29%
360;POA Network;POA;$9 314 565;$0,038486;242 023 925 *;$497 791;0,85%;5,11%;-2,93%
361;Beam;BEAM;$9 251 177;$0,446220;20 732 320;$6 441 291;0,31%;-1,18%;1,00%
362;Refereum;RFR;$9 250 946;$0,002469;3 746 829 189 *;$1 723 719;0,83%;3,13%;-1,70%
363;BlockMason Cr...;BCPT;$9 103 610;$0,078372;116 158 667 *;$2 932 721;-2,90%;9,35%;0,48%
364;Steem Dollars;SBD;$9 090 904;$1,02;8 916 653 *;$137 210;-0,34%;2,04%;-0,34%
365;LBRY Credits;LBC;$8 991 903;$0,037935;237 037 437;$145 470;0,23%;9,86%;31,18%
366;Game.com;GTC;$8 959 589;$0,011767;761 444 190 *;$1 292 022;-0,13%;-1,87%;-2,73%
367;MediBloc [QRC20];MED;$8 935 793;$0,003012;2 966 384 100 *;$7 820;1,15%;4,98%;2,35%
368;CyberVein;CVT;$8 890 740;$0,008384;1 060 404 496 *;$112 679;0,28%;2,72%;-3,65%
369;SALT;SALT;$8 869 251;$0,110474;80 283 637 *;$485 925;0,62%;-0,78%;-7,24%
370;Stakenet;XSN;$8 780 380;$0,104074;84 366 968 *;$63 653;-1,32%;-0,97%;0,96%
371;NIX;NIX;$8 775 768;$0,202931;43 245 163;$84 079;-8,84%;-2,49%;-6,44%
372;Fiii;FIII;$8 629 576;$0,017889;482 404 699;$2 406 648;0,19%;-16,82%;5,39%
373;Ternio;TERN;$8 559 250;$0,025614;334 161 876 *;$1 711;-0,05%;2,06%;-1,64%
374;Monetha;MTH;$8 493 358;$0,024868;341 544 023 *;$235 881;-0,90%;3,66%;-2,14%
375;Boolberry;BBR;$8 423 623;$0,674441;12 489 790;$1 605;0,22%;-1,38%;-15,44%
376;Substratum;SUB;$8 292 490;$0,021650;383 021 000 *;$17 803;0,26%;-0,53%;-6,09%
377;Gulden;NLG;$8 286 624;$0,019340;428 466 137;$38 730;2,91%;0,77%;-11,72%
378;Lympo;LYM;$8 249 729;$0,009979;826 672 989 *;$99 985;0,52%;-1,74%;-6,39%
379;eosDAC;EOSDAC;$8 183 707;$0,012385;660 755 177 *;$116 875;0,27%;1,22%;4,51%
380;Namecoin;NMC;$8 095 107;$0,549327;14 736 400;$5 485;1,99%;24,91%;25,76%
381;LockTrip;LOC;$8 082 157;$0,540534;14 952 163 *;$628 834;0,27%;-0,01%;-12,31%
382;Hydro;HYDRO;$8 021 141;$0,001855;4 324 954 339 *;$280 703;-0,26%;10,20%;13,75%
383;Adshares;ADS;$8 018 751;$0,258409;31 031 292 *;$12 097;-0,49%;-9,45%;48,28%
384;Bottos;BTO;$8 008 812;$0,014668;545 990 153 *;$567 012;0,82%;25,71%;32,93%
385;AirSwap;AST;$7 981 466;$0,053210;150 000 000 *;$1 206 801;0,32%;5,24%;5,34%
386;Restart Energ...;MWAT;$7 973 606;$0,017611;452 750 000 *;$26 249;0,12%;-1,15%;16,47%
387;XYO;XYO;$7 964 575;$0,000960;8 295 439 522 *;$42 456;-3,10%;-5,99%;-38,73%
388;1irstcoin;FST;$7 926 830;$1,29;6 125 706 *;$26 685;0,35%;-2,94%;2,88%
389;DAOstack;GEN;$7 842 339;$0,190094;41 255 043 *;$12 120;0,33%;1,02%;11,11%
390;YOYOW;YOYOW;$7 648 676;$0,025496;299 999 898 *;$809 156;-0,18%;4,95%;2,27%
391;Blox;CDT;$7 631 820;$0,011313;674 579 184 *;$261 837;-0,07%;2,19%;-0,13%
392;Trade Token X;TIOX;$7 611 388;$0,088432;86 070 590 *;$3 629;4,78%;3,28%;1,50%
393;Aencoin;AEN;$7 600 049;$0,029328;259 138 078 *;$324 131;0,49%;0,66%;-0,72%
394;Incent;INCNT;$7 580 871;$0,164742;46 016 573 *;$16 474;0,20%;7,07%;2,72%
395;Feathercoin;FTC;$7 550 386;$0,031550;239 317 960;$1 235 626;-0,24%;21,19%;38,83%
396;doc.com Token;MTC;$7 513 292;$0,010966;685 139 431 *;$322 597;0,86%;-0,92%;20,46%
397;Primalbase Token;PBT;$7 489 098;$5 991,28;1 250 *;$9 083;0,83%;0,84%;-1,08%
398;SDChain;SDA;$7 479 045;$0,004986;1 499 999 978 *;$103 267;0,37%;3,43%;-12,03%
399;Melon;MLN;$7 467 255;$6,29;1 186 787 *;$16 667;0,35%;5,16%;-12,62%
400;WePower;WPR;$7 462 287;$0,012422;600 745 174 *;$183 305;-0,35%;0,91%;-3,94%
401;BitTube;TUBE;$7 433 626;$0,050777;146 397 181;$158 815;-0,12%;5,65%;0,03%
402;NaPoleonX;NPX;$7 375 176;$0,337155;21 874 750 *;$117 986;-2,83%;-1,95%;5,74%
403;Burst;BURST;$7 352 181;$0,003598;2 043 564 293;$390 172;1,28%;11,49%;17,93%
404;MobileGo;MGO;$7 331 629;$0,073319;99 996 877 *;$143 939;0,07%;14,62%;17,38%
405;Abyss Token;ABYSS;$7 251 520;$0,031853;227 658 139 *;$1 862 564;-1,55%;36,24%;40,10%
406;Pascal Coin;PASC;$7 171 118;$0,270257;26 534 450;$90 041;0,52%;3,23%;8,17%
407;Sphere;SPHR;$7 151 245;$0,572817;12 484 344 *;$523 292;1,97%;5,32%;9,74%
408;Ambrosus;AMB;$7 143 366;$0,049404;144 590 975 *;$830 284;-0,15%;8,14%;2,80%
409;Spendcoin;SPND;$7 122 576;$0,042983;165 707 054 *;$5 985 983;0,13%;6,50%;-4,99%
410;Etherparty;FUEL;$7 120 791;$0,009657;737 347 860 *;$1 939 713;0,17%;0,92%;-13,44%
411;Envion;EVN;$7 099 120;$0,063744;111 368 894 *;$1 314;0,32%;-1,68%;-21,82%
412;Jibrel Network;JNT;$7 069 068;$0,041848;168 924 078 *;$144 921;0,18%;9,27%;11,40%
413;Airbloc;ABL;$7 064 288;$0,028028;252 042 886 *;$1 231 305;0,44%;-0,10%;39,70%
414;PayPie;PPP;$7 050 468;$0,085460;82 500 000 *;$11 359;0,00%;0,00%;0,00%
415;Internet Node...;INT;$7 036 827;$0,024866;282 990 438 *;$1 174 148;-2,17%;2,08%;-8,04%
416;Nimiq;NIM;$6 976 243;$0,001759;3 967 061 990;$456 148;-0,60%;-3,66%;4,97%
417;IDEX;IDEX;$6 949 231;$0,034698;200 277 250 *;$16 209;1,58%;-3,60%;-10,39%
418;Content Neutr...;CNN;$6 926 253;$0,000177;39 035 223 816 *;$377 262;0,32%;-0,19%;-9,52%
419;HalalChain;HLC;$6 882 934;$0,017693;389 009 995 *;$147 851;3,52%;0,73%;20,42%
420;CanonChain;CZR;$6 868 093;$0,012783;537 267 331 *;$6 379;0,49%;11,15%;9,52%
421;Mobius;MOBI;$6 860 409;$0,013319;515 082 884 *;$185 824;1,49%;4,49%;8,53%
422;Sentinel Prot...;UPP;$6 825 852;$0,023099;295 507 535 *;$15 098 549;-0,16%;33,60%;34,63%
423;Travala.com;AVA;$6 769 267;$0,171912;39 376 455 *;$73 200;5,53%;14,18%;15,98%
424;GameCredits;GAME;$6 767 341;$0,096903;69 836 100;$405 061;-0,59%;6,49%;9,92%
425;Dock;DOCK;$6 747 358;$0,014314;471 391 420 *;$1 611 840;0,93%;3,81%;-3,58%
426;EvenCoin;EVN;$6 719 617;$0,290564;23 126 122 *;$1 074 668;-1,21%;14,75%;-58,63%
427;Blackmoon;BMC;$6 598 901;$0,199967;33 000 000 *;$77 113;0,05%;0,35%;20,38%
428;Pillar;PLR;$6 507 096;$0,025090;259 348 201 *;$17 301;0,85%;-0,83%;-36,27%
429;FansTime;FTI;$6 463 803;$0,002268;2 850 000 000 *;$259 368;2,42%;2,23%;-8,73%
430;ContentBox;BOX;$6 433 282;$0,007554;851 609 920 *;$16 063;0,52%;0,63%;3,97%
431;Presearch;PRE;$6 419 238;$0,041414;155 000 000 *;$31 786;4,98%;12,59%;1,32%
432;OriginTrail;TRAC;$6 419 222;$0,022490;285 428 834 *;$57 921;1,07%;-8,99%;-28,75%
433;Loopring [NEO];LRN;$6 372 931;$0,056098;113 602 931 *;$11 519;0,27%;-3,37%;-4,55%
434;Litex;LXT;$6 329 311;$0,007719;819 999 982 *;$151 295;0,58%;-2,48%;21,90%
435;Maecenas;ART;$6 297 995;$0,130265;48 347 481 *;$2 587;0,21%;6,83%;-3,90%
436;Zeepin;ZPT;$6 264 142;$0,012528;500 000 000 *;$349 797;0,54%;2,95%;2,14%
437;CPChain;CPC;$6 248 089;$0,016583;376 765 852 *;$864 038;0,57%;1,64%;-3,01%
438;BOScoin;BOS;$6 217 785;$0,010374;599 342 106 *;$17 464;-1,05%;3,97%;-1,28%
439;LEOcoin;LEO;$6 192 485;$0,051173;121 010 421 *;$1 961 272;-0,38%;-2,89%;-8,12%
440;Primecoin;XPM;$6 087 976;$0,218965;27 803 450;$33 130;1,99%;0,55%;-4,08%
441;Quanta Utilit...;QNTU;$6 076 923;$0,000208;29 279 582 414 *;$18 186;0,53%;14,83%;17,97%
442;Stealth;XST;$6 061 255;$0,188424;32 168 084;$7 756;-0,41%;0,53%;-6,33%
443;Lunyr;LUN;$6 016 510;$2,62;2 297 853 *;$424 938;0,69%;1,34%;0,64%
444;Neumark;NEU;$5 974 474;$0,168335;35 491 516 *;$1 779;0,79%;-1,03%;-11,58%
445;Mercury;MER;$5 964 173;$0,059642;100 000 000 *;$189 873;0,42%;2,67%;2,59%
446;PCHAIN;PI;$5 929 286;$0,010875;545 208 297 *;$883 618;-22,76%;-19,11%;5,42%
447;Shift;SHIFT;$5 905 175;$0,448663;13 161 718 *;$77 686;1,80%;7,72%;-2,06%
448;Genaro Network;GNX;$5 899 873;$0,024002;245 805 535;$130 763;0,67%;1,15%;-1,39%
449;COVA;COVA;$5 885 784;$0,003435;1 713 688 000 *;$2 400 534;-0,14%;-2,93%;1,07%
450;StableUSD;USDS;$5 880 198;$0,997962;5 892 204 *;$424 330;-0,02%;-0,11%;-0,01%
451;BlackCoin;BLK;$5 840 995;$0,093010;62 799 609 *;$79 692;1,09%;1,42%;-8,89%
452;Counterparty;XCP;$5 827 296;$2,23;2 615 655 *;$4 391;-0,30%;1,75%;190,24%
453;CommerceBlock;CBT;$5 824 005;$0,033516;173 766 686 *;$2 005;3,96%;-1,90%;-4,84%
454;Seele;SEELE;$5 817 006;$0,008460;687 624 954 *;$243 148;0,63%;1,49%;1,12%
455;Eterbase Coin;XBASE;$5 804 392;$0,009620;603 384 480 *;$2 766 882;-0,10%;-1,65%;5,19%
456;Litecoin Cash;LCC;$5 739 390;$0,009111;629 966 207;$94 913;0,06%;-2,67%;-10,20%
457;Dero;DERO;$5 686 803;$0,765490;7 428 971;$632 330;-0,08%;-7,25%;-2,01%
458;Morpheus.Network;MRPH;$5 678 446;$0,180074;31 533 948 *;$335 861;0,44%;0,13%;4,17%
459;Machine Xchan...;MXC;$5 674 420;$0,007098;799 489 740 *;$491 368;0,30%;2,57%;0,43%
460;Primas;PST;$5 599 847;$0,106274;52 692 565 *;$1 693 794;0,46%;0,94%;-17,06%
461;adToken;ADT;$5 557 649;$0,007445;746 500 000 *;$1 017 717;0,47%;4,11%;2,29%
462;MultiVAC;MTV;$5 525 671;$0,006995;790 000 000 *;$253 709;0,29%;0,11%;-11,34%
463;TEMCO;TEMCO;$5 505 292;$0,002452;2 244 943 923 *;$202 384;-0,31%;-2,38%;27,29%
464;TurtleCoin;TRTL;$5 490 609;$0,000122;45 049 041 398;$699 081;1,18%;-4,22%;-7,39%
465;Penta;PNT;$5 486 543;$0,000269;20 415 607 908 *;$444 142;0,99%;0,05%;-11,40%
466;DECENT;DCT;$5 486 361;$0,106934;51 306 089 *;$396 478;0,74%;5,49%;-6,20%
467;Caspian;CSP;$5 458 524;$0,012650;431 497 861 *;$134 095;0,23%;-9,47%;0,35%
468;DEX;DEX;$5 446 885;$0,028437;191 542 291 *;$982 082;0,14%;-1,47%;-5,99%
469;Measurable Da...;MDT;$5 445 400;$0,010418;522 684 069 *;$834 151;0,61%;1,60%;-0,38%
470;Artfinity;AT;$5 441 074;$0,071638;75 952 682 *;$3 354 945;-0,03%;-3,89%;12,33%
471;Kore;KORE;$5 439 115;$0,612858;8 875 003 *;$134 602;-0,31%;13,75%;29,92%
472;Divi;DIVI;$5 422 635;$0,005121;1 058 909 891;$42 955;1,93%;4,91%;-7,95%
473;OVCODE;OVC;$5 414 552;$0,123468;43 854 019 *;$122 074;0,37%;-0,58%;-56,75%
474;QunQun;QUN;$5 411 264;$0,008407;643 671 689 *;$4 928 783;0,23%;1,38%;-5,97%
475;Waves Communi...;WCT;$5 398 568;$0,541776;9 964 577 *;$23 287;1,98%;13,30%;-11,23%
476;Loki;LOKI;$5 397 097;$0,148638;36 310 297;$26 170;-0,05%;9,21%;-14,15%
477;Amoveo;VEO;$5 378 541;$84,64;63 546;$566;0,21%;-2,36%;10,31%
478;Universa;UTNP;$5 340 133;$0,002888;1 848 760 649 *;$15 550;-0,85%;-1,91%;-5,13%
479;PACcoin;$PAC;$5 336 547;$0,000762;7 000 409 249;$40 223;5,84%;-4,12%;2,53%
480;STACS;STACS;$5 318 052;$0,010618;500 841 019 *;$50 639;-0,97%;-3,44%;-19,99%
481;AMO Coin;AMO;$5 283 122;$0,000589;8 972 250 815 *;$119 157;0,00%;-1,54%;-5,42%
482;BOLT;BOLT;$5 232 523;$0,014834;352 739 534 *;$1 540 934;3,01%;7,36%;-10,67%
483;ZelCash;ZEL;$5 166 032;$0,079327;65 123 150;$295 890;0,13%;-1,20%;-4,85%
484;LoyalCoin;LYL;$5 126 340;$0,000958;5 353 626 190 *;$365 116;-0,35%;14,83%;46,04%
485;MassGrid;MGD;$5 101 461;$0,069613;73 283 313 *;$2 740;0,53%;-17,54%;-21,35%
486;Invictus Hype...;IHF;$5 093 775;$0,042557;119 693 496 *;$1 003;0,50%;16,89%;-0,04%
487;Bean Cash;BITB;$5 087 455;$0,001650;3 083 688 000;$329 119;0,23%;7,68%;8,30%
488;SwissBorg;CHSB;$5 048 616;$0,008768;575 821 133 *;$92 286;0,56%;-4,10%;5,26%
489;SunContract;SNC;$5 023 005;$0,040935;122 707 503 *;$628 523;0,23%;-1,22%;-5,10%
490;Polis;POLIS;$5 009 721;$0,786986;6 365 709;$14 601;0,20%;0,40%;-7,45%
491;Aston;ATX;$5 008 728;$0,006079;824 000 000 *;$1 368;0,21%;1,55%;-14,66%
492;Callisto Network;CLO;$5 001 261;$0,002986;1 675 077 068;$151 454;-0,55%;3,37%;-0,28%
493;MVL;MVL;$5 001 217;$0,000743;6 726 869 270 *;$144 104;0,77%;-1,57%;13,67%
494;OKCash;OK;$4 995 434;$0,066973;74 589 154 *;$6 293 983;-1,36%;79,34%;86,52%
495;0Chain;ZCN;$4 951 711;$0,123434;40 116 166 *;$8 816;1,56%;4,77%;11,22%
496;Cryptaur;CPT;$4 940 170;$0,000650;7 598 452 134 *;$3 448;0,40%;-2,92%;-16,06%
497;DeepOnion;ONION;$4 920 719;$0,305310;16 117 126;$11 120;0,40%;0,74%;-7,40%
498;Apex;CPX;$4 877 855;$0,010490;464 982 330 *;$116 611;6,94%;-15,15%;3,54%
499;Ultiledger;ULT;$4 875 199;$0,008072;603 975 573 *;$760 165;0,33%;-0,95%;22,23%
500;Phore;PHR;$4 848 573;$0,277091;17 498 110 *;$122 887;0,46%;1,49%;-1,56%
501;BitGreen;BITG;$4 843 226;$0,551215;8 786 451;$44 475;0,09%;-11,57%;-27,39%
502;Hydro Protocol;HOT;$4 787 953;$0,006820;702 000 000 *;$105 546;2,47%;6,88%;12,72%
503;Global Social...;GSC;$4 784 915;$0,008892;538 103 863 *;$181 110;0,59%;0,64%;-2,50%
504;Business Cred...;BCAC;$4 780 057;$0,005685;840 761 324 *;$89 163;0,53%;9,28%;16,93%
